food_code,name,category,kcal_per_100g,carbs_g_per_100g,protein_g_per_100g,fat_g_per_100g,fiber_g_per_100g,default_qty_grams,default_unit,primary_source
ASC001,Hot tea (Garam Chai),Prepared Meal,16.144298553466797,2.5819475650787354,0.3878859877586365,0.5320665240287781,,211,tea cup,asc_manual
ASC002,Instant coffee,Prepared Meal,23.155832290649414,3.6533334255218506,0.640666663646698,0.746666669845581,,450,tea cup,asc_manual
ASC003,Espreso coffee,Prepared Meal,51.543373107910156,6.620504856109619,1.7470030784606934,2.1381702423095703,,159,tea cup,asc_manual
ASC004,Iced tea,Prepared Meal,10.342187881469727,2.7015624046325684,0.027968749403953552,0.010937499813735485,,320,tall glass,asc_manual
ASC005,Raw mango drink (Aam panna),Prepared Meal,35.91822052001953,9.047467231750488,0.15703445672988892,0.026340782642364502,0.6120251417160034,268,tall glass,asc_manual
ASC006,Fruit Punch (with fresh juices),Prepared Meal,36.116844177246094,9.38059139251709,0.13934893906116486,0.03250204399228096,0.06005493178963661,500,tall glass,asc_manual
ASC007,Fruit Punch (with squashes),Prepared Meal,23.12828254699707,5.989855766296387,0.0723448097705841,0.016838526353240013,0.16822615265846252,500,tall glass,asc_manual
ASC008,Lemonade,Prepared Meal,20.798982620239258,5.478568077087402,0.034817468374967575,0.010450966656208038,0.016864709556102753,349,glass,asc_manual
ASC009,Lem-o-gin,Prepared Meal,21.517364501953125,5.551969051361084,0.08075683563947678,0.028100909665226936,0.12919411063194275,357,glass,asc_manual
ASC010,Cumin infused water (Jeere/Zeere ka pani),Prepared Meal,9.08980655670166,1.8643821477890015,0.16951678693294525,0.1104905903339386,0.46353375911712646,339,glass,asc_manual
ASC011,Coco pine cooler,Prepared Meal,32.74876022338867,5.717686176300049,0.5550532341003418,0.9999814629554749,0.25724664330482483,432,tall glass,asc_manual
ASC012,Summer cooler,Prepared Meal,22.428831100463867,5.431630611419678,0.37390369176864624,0.03540007397532463,0.19671612977981567,495,tall glass,asc_manual
ASC014,Hot cocoa,Prepared Meal,90.0999984741211,9.234031677246094,3.3628273010253906,4.562827110290527,,191,cup,asc_manual
ASC015,Cold coffee with ice cream,Prepared Meal,67.8487548828125,11.244776725769043,1.5701491832733154,2.109452724456787,0.007960199378430843,301,tall glass,asc_manual
ASC016,Banana milkshake (Kele milkshake),Prepared Meal,65.30644989013672,9.145586013793945,1.8432996273040771,2.371230125427246,0.2558610737323761,346,tall glass,asc_manual
ASC017,Mango milkshake (Aam milkshake),Prepared Meal,56.901123046875,7.231504917144775,1.7267510890960693,2.345879077911377,0.26441630721092224,356,tall glass,asc_manual
ASC018,Pineapple milkshake (Ananas milkshake),Prepared Meal,55.71769332885742,7.624691486358643,1.65925931930542,2.228806734085083,,365,tall glass,asc_manual
ASC019,Orange milkshake (Narangi milkshake),Prepared Meal,57.41502380371094,7.10704231262207,1.8647887706756592,2.5239436626434326,,319,tall glass,asc_manual
ASC020,Egg nog,Prepared Meal,97.14144897460938,8.145041465759277,4.776309490203857,5.11044454574585,0.019752884283661842,304,tall glass,asc_manual
ASC021,Sweet Lassi (Meethi lassi),Prepared Meal,35.66101837158203,6.508474826812744,1.2881355285644531,0.6779661178588867,,442,tall glass,asc_manual
ASC022,Lassi (salted),Prepared Meal,18.844942092895508,1.856243371963501,1.3549379110336304,0.7186296582221985,0.017926756292581558,423,tall glass,asc_manual
ASC023,Cheese and chilli sandwich,Prepared Meal,218.1146697998047,27.40143394470215,6.795605182647705,9.780448913574219,2.078744411468506,56,triangle,asc_manual
ASC024,Egg sandwich (Ande ka sandwich),Prepared Meal,285.95709228515625,29.15723991394043,8.694679260253906,15.797734260559082,1.8776354789733887,51,triangle,asc_manual
ASC025,Cucumber sandwich (Kheere ka sandwich),Prepared Meal,188.597900390625,25.76510238647461,4.798436164855957,7.997695446014404,2.449218273162842,61,triangle,asc_manual
ASC026,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Prepared Meal,257.7143249511719,29.101882934570312,8.196501731872559,12.797489166259766,2.3298654556274414,56,triangle,asc_manual
ASC027,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Prepared Meal,243.31991577148438,26.92240333557129,7.9185404777526855,12.274420738220215,1.9749356508255005,58,triangle,asc_manual
ASC028,Chicken sandwich,Prepared Meal,253.27267456054688,25.377338409423828,13.124119758605957,11.748669624328613,1.6358798742294312,58,triangle,asc_manual
ASC029,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Prepared Meal,291.4269104003906,28.544937133789062,9.528888702392578,16.13761329650879,4.029465198516846,61,triangle,asc_manual
ASC030,Rainbow sandwich,Prepared Meal,272.75140380859375,34.263946533203125,7.746617794036865,12.539576530456543,2.10280179977417,48,triangle,asc_manual
ASC031,Club sandwich,Prepared Meal,235.3241729736328,18.508420944213867,7.3101277351379395,15.121536254882812,1.8081934452056885,88,triangle,asc_manual
ASC032,Vegetarian club sandwich,Prepared Meal,198.32925415039062,19.684192657470703,5.451312065124512,11.329170227050781,2.0566515922546387,83,triangle,asc_manual
ASC033,Pin wheel sandwich,Prepared Meal,311.5205993652344,14.004125595092773,8.766905784606934,24.934709548950195,0.928968608379364,30,triangle,asc_manual
ASC034,Carrot apple sandwich (Gajar aur seb ka sandwich),Prepared Meal,214.11184692382812,29.04496192932129,5.297377586364746,9.123984336853027,3.656041145324707,97,triangle,asc_manual
ASC035,Salami sandwich,Prepared Meal,255.5937042236328,21.538450241088867,8.695690155029297,15.509899139404297,1.969562292098999,74,triangle,asc_manual
ASC036,Vegetable and mayonnaise sandwich,Prepared Meal,244.2624969482422,23.201412200927734,4.473674774169922,15.398404121398926,2.351200580596924,68,triangle,asc_manual
ASC037,Egg and tomato sandwich (Ande aur tamatar ka sandwich),Prepared Meal,222.1063690185547,25.903024673461914,7.655546188354492,10.509202003479004,1.7674790620803833,60,triangle,asc_manual
ASC038,Sweet open sandwich,Prepared Meal,244.2458038330078,39.24372863769531,4.985423564910889,8.153898239135742,2.3566102981567383,59,triangle,asc_manual
ASC039,Mushroom and cheese sandwich (toasted),Prepared Meal,227.4191131591797,21.012937545776367,7.785544395446777,13.008052825927734,2.2843563556671143,76,triangle,asc_manual
ASC040,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),Prepared Meal,224.5795135498047,21.415576934814453,6.821847915649414,12.951947212219238,1.779405951499939,76,triangle,asc_manual
ASC041,Pea potato sandwich (toasted) (Matar aloo ka sandwich),Prepared Meal,164.90065002441406,25.16836166381836,4.604915618896484,5.42716121673584,2.8859055042266846,89,toasted triangle,asc_manual
ASC042,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),Prepared Meal,249.55572509765625,24.052186965942383,12.400134086608887,11.975685119628906,2.1162853240966797,89,toasted triangle,asc_manual
ASC043,Chicken sandwich (toasted),Prepared Meal,167.36798095703125,18.81935691833496,12.081052780151367,5.315614223480225,1.6419882774353027,86,toasted triangle,asc_manual
ASC044,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),Prepared Meal,171.77516174316406,20.25550651550293,11.055025100708008,5.611410140991211,2.4534075260162354,85,toasted triangle,asc_manual
ASC045,Classic club sandwich,Prepared Meal,200.83099365234375,18.491588592529297,6.73637580871582,11.56259536743164,1.6238478422164917,224,triangle,asc_manual
ASC046,Sesame toast,Prepared Meal,495.18634033203125,11.146966934204102,1.8990991115570068,49.378177642822266,1.318979024887085,62,toasted triangle,asc_manual
ASC047,Cracked wheat porridge (Meetha daliya),Prepared Meal,81.56513977050781,8.870967864990234,2.6426796913146973,4.0806450843811035,0.6203473806381226,403,bowl,asc_manual
ASC048,Semolina porridge (Suji/Rava daliya),Prepared Meal,100.89435577392578,12.38705062866211,3.750359535217285,4.082014083862305,0.6992805600166321,278,bowl,asc_manual
ASC050,Oatmeal Porridge,Prepared Meal,72.85364532470703,8.766331672668457,2.595477342605591,3.2211055755615234,0.3919597864151001,398,bowl,asc_manual
ASC051,Cornflakes with milk,Prepared Meal,117.32661437988281,14.948201179504395,3.59136700630188,5.119424343109131,0.7769784331321716,278,bowl,asc_manual
ASC052,Rice flakes (Chiwda/Aval),Prepared Meal,112.4402847290039,15.568704605102539,3.6172661781311035,3.990647315979004,0.37338128685951233,278,bowl,asc_manual
ASC053,Wheat flakes,Prepared Meal,112.4402847290039,15.568704605102539,3.6172661781311035,3.990647315979004,0.37338128685951233,278,bowl,asc_manual
ASC054,Murmura (Puffed rice),Prepared Meal,113.31719207763672,15.66906452178955,3.6205034255981445,4.042446136474609,0.27625900506973267,278,bowl,asc_manual
ASC055,Puffed wheat (Murmure/Moori),Prepared Meal,113.31719207763672,15.66906452178955,3.6205034255981445,4.042446136474609,0.27625900506973267,278,bowl,asc_manual
ASC056,Boiled egg (Ubla anda),Prepared Meal,45.3546028137207,0.11993376910686493,4.430860996246338,3.0388741493225098,0.10980132967233658,151,egg,asc_manual
ASC057,Fried Egg,Prepared Meal,223.66744995117188,0.3135930597782135,11.585453987121582,19.62242317199707,0.28709957003593445,58,egg,asc_manual
ASC058,Poached egg,Prepared Meal,123.86688232421875,0.3662499785423279,11.97607135772705,8.194107055664062,0.29607143998146057,56,egg,asc_manual
ASC059,Scrambled egg (Ande ki bhurji),Prepared Meal,155.97100830078125,1.3515714406967163,10.290857315063477,12.212428092956543,0.23685714602470398,70,egg,asc_manual
ASC060,Baked egg,Prepared Meal,218.84698486328125,15.416930198669434,11.881781578063965,12.652177810668945,1.02554452419281,101,egg,asc_manual
ASC061,Plain omelette/omlet,Prepared Meal,272.4109802246094,0.6448251605033875,9.664055824279785,25.74034881591797,0.11594405770301819,143,omelette,asc_manual
ASC062,Stuffed egg omelette/omlet,Prepared Meal,203.51486206054688,2.3019466400146484,8.602519035339355,17.774503707885742,0.7503053545951843,262,omelette,asc_manual
ASC063,Pancake,Prepared Meal,203.35560607910156,20.48965072631836,5.68212890625,10.816617012023926,0.6528680920600891,42,pancake,asc_manual
ASC064,Keema pancake,Prepared Meal,176.2749786376953,9.559337615966797,9.006999969482422,11.245588302612305,0.840624213218689,110,pancake,asc_manual
ASC065,Vegetable pancake,Prepared Meal,125.17634582519531,12.23516845703125,3.865659475326538,6.573175430297852,2.477165937423706,117,pancake,asc_manual
ASC066,Jam and fruit pancake,Prepared Meal,162.0184326171875,20.727575302124023,3.791611433029175,7.008038520812988,1.2086658477783203,66,pancake,asc_manual
ASC067,Khoa and coconut pancake,Prepared Meal,271.980712890625,27.323190689086914,6.979613304138184,15.294413566589355,1.6516162157058716,71,pancake,asc_manual
ASC068,Brown stock,Prepared Meal,21.324813842773438,0.2517152726650238,1.9483927488327026,1.3840610980987549,0.09378182142972946,486,cup,asc_manual
ASC069,Vegetable stock,Prepared Meal,17.604402542114258,0.9595896005630493,0.2996930778026581,1.377679467201233,0.3815610408782959,415,cup,asc_manual
ASC070,Chicken stock,Prepared Meal,29.880197525024414,0.36780157685279846,3.6864609718322754,1.5104801654815674,0.10351110994815826,376,cup,asc_manual
ASC079,Clear tomato soup (Tamatar ka soup),Prepared Meal,80.07408905029297,3.4506852626800537,4.793009281158447,12.224908828735352,1.963787317276001,398,soup bowl,asc_manual
ASC080,Lentil soup,Prepared Meal,31.16623878479004,3.9445831775665283,9.653425216674805,11.678777694702148,2.5739505290985107,389,soup bowl,asc_manual
ASC081,Chicken consomme (Clear chicken soup),Prepared Meal,47.944820404052734,1.1854139566421509,11.471491813659668,12.01870346069336,1.5683488845825195,226,soup bowl,asc_manual
ASC082,Cream of tomato soup,Prepared Meal,97.81221771240234,3.9280059337615967,4.610315799713135,13.115484237670898,1.3752379417419434,462,soup bowl,asc_manual
ASC083,Cream of green peas soup,Prepared Meal,127.84082794189453,6.750673294067383,7.126903533935547,14.781371116638184,2.950526475906372,409,soup bowl,asc_manual
ASC084,Cream of spinach soup,Prepared Meal,100.53778076171875,3.446488857269287,5.214042663574219,13.30996322631836,1.7408103942871094,463,soup bowl,asc_manual
ASC085,Cream of mixed vegetable soup,Prepared Meal,59.64580535888672,4.931180953979492,6.844812393188477,9.04925537109375,2.1433775424957275,362,soup bowl,asc_manual
