name,category,kcal_per_100g,carbs_g_per_100g,protein_g_per_100g,fat_g_per_100g,fiber_g_per_100g
"Amaranth seed, black",Cereals and Millets,356.12,59.98,14.59,5.74,7.02
"Amaranth seed, pale brown",Cereals and Millets,355.88,61.46,13.27,5.56,7.47
Bajra,Cereals and Millets,347.99,61.78,10.96,5.43,11.49
Barley,Cereals and Millets,315.73,61.29,10.94,1.3,15.64
Jowar,Cereals and Millets,334.13,67.68,9.97,1.73,10.22
"Maize, dry",Cereals and Millets,334.13,64.77,8.8,3.77,12.24
"Maize, tender, local",Cereals and Millets,119.98,22.69,3.57,1.4,3.67
"Maize, tender, sweet",Cereals and Millets,96.8,16.42,4.16,1.35,3.3
Quinoa,Cereals and Millets,328.39,53.65,13.11,5.5,14.66
Ragi,Cereals and Millets,320.75,66.82,7.16,1.92,11.18
Rice flakes,Cereals and Millets,353.73,76.75,7.44,1.14,3.46
Rice puffed,Cereals and Millets,361.85,77.68,7.47,1.62,2.56
"Rice, raw, brown",Cereals and Millets,353.73,74.8,9.16,1.24,4.43
"Rice, parboiled, milled",Cereals and Millets,351.58,77.16,7.81,0.55,3.74
"Rice, raw, milled",Cereals and Millets,356.36,78.24,7.94,0.52,2.81
Samai,Cereals and Millets,346.32,65.55,10.13,3.89,7.72
Varagu,Cereals and Millets,331.74,66.19,8.92,2.55,6.39
"Wheat flour, refined",Cereals and Millets,351.82,74.27,10.36,0.76,2.76
"Wheat flour, atta",Cereals and Millets,320.27,64.17,10.57,1.53,11.36
"Wheat, whole",Cereals and Millets,321.94,64.72,10.59,1.47,11.23
"Wheat, bulgur",Cereals and Millets,341.78,69.06,10.84,1.45,8.81
"Wheat, semolina",Cereals and Millets,333.65,68.43,11.38,0.74,9.72
"Wheat, vermicelli",Cereals and Millets,332.7,70.39,9.7,0.45,9.28
"Wheat, vermicelli, roasted",Cereals and Millets,340.11,71.42,10.37,0.49,9.55
"Bengal gram, dal",Grain Legumes,329.11,46.72,21.55,5.31,15.15
"Bengal gram, whole",Grain Legumes,287.05,39.56,18.77,5.11,25.22
"Black gram, dal",Grain Legumes,324.09,51,23.06,1.69,11.93
"Black gram, whole",Grain Legumes,291.35,43.99,21.97,1.58,20.41
"Cowpea, brown",Grain Legumes,320.27,54.62,20.36,1.15,11.54
"Cowpea, white",Grain Legumes,320.27,53.77,21.25,1.14,11.7
"Field bean, black",Grain Legumes,276.05,43.46,19.93,0.92,23.4
"Field bean, brown",Grain Legumes,282.98,45.24,19.9,0.98,22.4
"Field bean, white",Grain Legumes,280.35,44.53,19.84,0.94,22.99
"Green gram, dal",Grain Legumes,325.76,52.59,23.88,1.35,9.37
"Green gram, whole",Grain Legumes,293.74,46.13,22.53,1.14,17.04
"Horse gram, whole",Grain Legumes,329.59,57.24,21.73,0.62,7.88
Lentil dal,Grain Legumes,322.42,52.53,24.35,0.75,10.43
"Lentil whole, brown",Grain Legumes,299,48.47,22.49,0.64,16.82
"Lentil whole, yellowish",Grain Legumes,297.8,47.91,22.87,0.61,16.66
Moth bean,Grain Legumes,308.56,52.09,19.75,1.76,15.12
"Peas, dry",Grain Legumes,303.3,48.93,20.43,1.89,17.01
"Rajmah, black",Grain Legumes,298.04,49.59,19.01,1.62,17.74
"Rajmah, brown",Grain Legumes,297.56,48.83,19.5,1.68,16.95
"Rajmah, red",Grain Legumes,299.24,48.61,19.91,1.77,16.57
"Red gram, dal",Grain Legumes,330.78,55.23,21.7,1.56,9.06
"Red gram, whole",Grain Legumes,273.9,42.48,20.47,1.38,22.84
Ricebean,Grain Legumes,302.34,51.26,19.97,0.74,13.37
"Soya bean, brown",Grain Legumes,381.45,12.79,35.58,19.82,21.55
"Soya bean, white",Grain Legumes,377.39,10.16,37.8,19.42,22.63
Agathi leaves,Green Leafy Vegetables,70.51,5.21,8.01,1.35,8.6
"Amaranth leaves, green",Green Leafy Vegetables,30.59,2.28,3.29,0.65,4.41
"Amaranth leaves, red mix",Green Leafy Vegetables,33.46,2.37,3.93,0.63,4.91
"Amaranth leaves, red and green mix",Green Leafy Vegetables,31.55,2.87,3.09,0.53,4.6
"Amaranth spinosus, leaves, green mix",Green Leafy Vegetables,26.29,1.61,3.54,0.36,5.1
"Amaranth spinosus, leaves, red and green mix",Green Leafy Vegetables,23.66,1.45,2.8,0.34,5.57
Basella leaves,Green Leafy Vegetables,19.6,2.01,1.57,0.45,2.21
Bathua leaves,Green Leafy Vegetables,27.72,2.56,2.5,0.44,4.01
Beet greens,Green Leafy Vegetables,34.66,3.86,2.38,0.75,3.64
"Betel leaves, big (kolkata)",Green Leafy Vegetables,48.28,7.37,2.51,0.75,2.12
"Betel leaves, small",Green Leafy Vegetables,43.74,6.16,2.62,0.75,1.97
Brussels sprouts,Green Leafy Vegetables,44.22,5.09,4.26,0.5,4.29
"Cabbage, Chinese",Green Leafy Vegetables,17.93,2.36,1.58,0.13,2.01
"Cabbage, collard greens",Green Leafy Vegetables,30.11,2.79,3.63,0.27,2.98
"Cabbage, green",Green Leafy Vegetables,21.51,3.25,1.36,0.12,2.76
"Cabbage, violet",Green Leafy Vegetables,23.18,3.54,1.39,0.21,2.21
Cauliflower leaves,Green Leafy Vegetables,35.37,3.39,3.9,0.42,3.43
"Colocasia leaves, green",Green Leafy Vegetables,43.5,3.69,3.42,1.38,5.6
Drumstick leaves,Green Leafy Vegetables,67.4,5.62,6.41,1.64,8.21
Fenugreek leaves,Green Leafy Vegetables,34.42,2.17,3.68,0.83,4.9
Garden cress,Green Leafy Vegetables,49.71,4.48,5.62,0.8,2.6
"Gogu leaves, green",Green Leafy Vegetables,36.33,4.06,1.86,1.09,4.59
"Gogu leaves, red",Green Leafy Vegetables,36.57,4.24,1.85,1.07,3.89
"Knol-Khol, leaves",Green Leafy Vegetables,42.54,6.16,3.12,0.35,2.76
Lettuce,Green Leafy Vegetables,21.75,3.01,1.54,0.27,1.79
Mustard leaves,Green Leafy Vegetables,30.35,2.41,3.52,0.51,3.92
Pak Choi leaves,Green Leafy Vegetables,16.01,1.78,1.41,0.25,1.91
Parsley,Green Leafy Vegetables,72.9,9.43,5.55,1.14,3.87
Ponnaganni,Green Leafy Vegetables,50.91,5.17,5.29,0.71,6.74
"Pumpkin leaves, tender",Green Leafy Vegetables,44.22,4.75,4.21,0.74,2.25
Radish leaves,Green Leafy Vegetables,26.05,2.77,2.22,0.51,1.82
Rumex leaves,Green Leafy Vegetables,19.6,2.33,1.62,0.33,1.27
Spinach,Green Leafy Vegetables,24.38,2.05,2.14,0.64,2.38
"Tamarind leaves, tender",Green Leafy Vegetables,71.46,10.04,5.84,0.49,10.7
Ash gourd,Other Vegetables,17.45,2.84,0.79,0.14,3.37
"Bamboo shoot, tender",Other Vegetables,16.25,1.67,1.33,0.35,1.55
"Bean scarlet, tender",Other Vegetables,42.78,5.16,2.86,0.99,4.5
"Bitter gourd, jagged, teeth ridges, elongate",Other Vegetables,20.79,2.82,1.44,0.24,3.78
"Bitter gourd, jagged, teeth ridges, short",Other Vegetables,18.88,2.53,1.34,0.24,3.49
"Bitter gourd, jagged, smooth ridges, elongate",Other Vegetables,19.36,2.29,1.61,0.26,3.72
"Bottle gourd, elongate, pale green",Other Vegetables,10.99,1.68,0.53,0.13,2.12
"Bottle gourd, round, pale green",Other Vegetables,13.62,2.53,0.42,0.12,2.1
"Bottle gourd, elongate, dark green",Other Vegetables,12.91,2.25,0.49,0.13,2.11
Brinjal-1,Other Vegetables,27.25,3.49,1.77,0.39,3.57
Brinjal-2,Other Vegetables,23.66,2.71,1.82,0.34,4.01
Brinjal-3,Other Vegetables,24.38,3.38,1.36,0.33,4.26
Brinjal-4,Other Vegetables,23.9,3.19,1.51,0.31,4.04
Brinjal-5,Other Vegetables,26.53,4.02,1.38,0.29,4.13
Brinjal-6,Other Vegetables,23.18,3.29,1.46,0.29,3.68
Brinjal-7,Other Vegetables,23.42,3.1,1.4,0.37,3.32
Brinjal-8,Other Vegetables,27.96,3.75,1.82,0.33,4.01
Brinjal-9,Other Vegetables,25.33,3.52,1.47,0.35,4
Brinjal-10,Other Vegetables,27.72,4.08,1.68,0.25,3.9
